job_title,company,job_location,job_description,job_link,job_skills,search_country,job_level,job_type
GBO - GB Scientific - Scientific Data Analyst I,National Radio Astronomy Observatory,"Cass, Pocahontas County","National Radio Astronomy Observatory Title: GBO - GB Scientific - Scientific Data Analyst I Location: NRAO, PO Box 2, GREEN BANK, West Virginia, United States of America Requisition Number: 158 Job Family: Scientific Data Analyst Pay Type: Hourly Required Education: NET Position Description: The Green Bank Observatory oversees the development and operation of the Robert C. Byrd Green Bank Telescope (GBT), the world’s largest fully steerable telescope, as well as numerous smaller telescopes whic…",https://www.adzuna.com/land/ad/5656257496?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=FB24AE816684CAA48937309826E7D3A3F340489E,,United States,,
GIS Data Analyst,Florida State University,"Tallahassee, Leon County","Job Title: GIS Data Analyst Location: Tallahassee, FL Regular/Temporary: Regular Full/Part Time: Full-Time Job ID: 61294 Department [Planning, Design & Construction](https://www.facilities.fsu.edu/depts/designConstr/) Responsibilities * Supports and advances the university's campus-wide mapping initiatives by incorporating current and emerging GIS technologies. Develops, updates, and maintains spatial databases and data sets using ArcGIS and related applications. Performs quality control and qu…",https://www.adzuna.com/land/ad/5657678801?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=8375778B8EA509F3AB73AB90C7FC6BE8C780ED21,,United States,,
Associate eCommerce Data Analyst,Uline,"Kenosha, Kenosha County","Associate eCommerce Data Analyst Corporate Headquarters 12575 Uline Drive, Pleasant Prairie, WI 53158 As one of the largest e-commerce websites in the country, uline.com provides a vital service that millions of users depend on. We’re looking for an Associate Ecommerce Data Analyst where you’ll dig into the data and help identify key insights to support our growing eCommerce site - uline.com. Careers Packed with Potential. Backed by 45 years of success, Uline offers opportunities to grow your c…",https://www.adzuna.com/land/ad/5647318745?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=67E53DB84BDA2A714B9A6739863C6114BBB54EB6,,United States,,
Senior Data Analyst- Hybrid,Med-Metrix,"Parsippany, Morris County","Job Purpose The Senior Data Analyst is responsible for transforming complex data into actionable insights that support strategic and operational decision-making. This role combines advanced SQL expertise, strong analytical capabilities, and business acumen to partner with stakeholders and technical teams to solve complex problems, improve performance, and enable data-driven strategies. The Senior Data Analyst will bridge the gap between data, technology, and business outcomes in a fast-paced, c…",https://www.adzuna.com/land/ad/5643231606?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=132C17D914B6FFFD479C4F1A7A21BB6671D2C8D8,,United States,,
Sales Data Analyst-No Remote,Jobot,"Corona, Riverside County","Join a fast‑growing food manufacturer delivering high‑quality, innovative products for retail and foodservice partners. This Jobot Job is hosted by: Julibeth Canafax Are you a fit? Easy Apply now by clicking the ""Apply Now"" button and sending us your resume. Salary: $85,000 - $95,000 per year A bit about us: Join a fast‑growing food manufacturer delivering high‑quality, innovative products for retail and foodservice partners. Why join us? Medical Dental Vision 401 k Job Details We are seeking a…",https://www.adzuna.com/land/ad/5656781735?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=8A96D06A8077E7737644AA5D1455748C978DC6B0,,United States,,
Data Analyst,Consolidated Electrical Distributors,"Garden City, Finney County","Summary Job title: Data Analyst Job ID: null Department: Garden City - RES Location: null-null Description Summary: Data Analysts will work directly with Purchasing Managers, Sales Team, and Vendors to manage pricing matrices, customer pricing agreements, and vendor cost files. This position is not directly customer facing but requires strong communication skills for internal communication with the team and communication with vendors with regards to pricing and purchasing information. Data Anal…",https://www.adzuna.com/land/ad/5593313619?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=7043411BDAF3C661CAB032615567B46EABE0E0ED,,United States,,
Data Analyst,BAE Systems,"Washington, D.C., US","Job Description BAE Systems is seeking a Data Analyst to join our team and provide support to facilitate operations on a critical infrastructure and services program. This effort focuses on providing a comprehensive set of System/ Software Engineering and IT Services to maintain, sustain, enhance, and improve/modernize. The ideal candidate will be located in the National Capital Region. Please note that this is contingent upon contract award, with an anticipated decision expected by Q3/Q4 of 20…",https://www.adzuna.com/land/ad/5530424214?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=2B85850E4A28B3707473EDF36980E181939951C8,,United States,,
Data Analyst,Insight Global,"Tyler Park, Hudson County","Job Description Insight Global is seeking a technically strong Data Analyst to join the team at one of our top financial services clients located in Jersey City, NJ. You will be supporting a mature, multi year risk reporting and data governance program. This role focuses on metadata analysis, data lineage, and controls, working directly with databases and data owners to identify gaps and drive resolution. Responsibilities will include: -Analyze metadata related to data lineage, controls, and ri…",https://www.adzuna.com/land/ad/5653135410?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=25DA6641BD0FCD7E32FE9B188BC6AF92D94A999D,,United States,,
Data Analyst,System One,"Williams, Tulsa County","Job Title: Data Analyst Location: Tulsa , Oklahoma Type: Contract To Hire Compensation: $70 - $95 hourly Contractor Work Model: Hybrid System One has partnered with a multi-state organization that is seeking an experienced Data Analyst to support data-driven decision-making and compliance across the organization. This role is responsible for gathering, analyzing, and interpreting data from multiple sources to provide actionable insights, develop reports and dashboards, and support business obje…",https://www.adzuna.com/land/ad/5650729763?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=F5352359A0CDD6F53D96DF3BA0A5804687359E3E,,United States,,
Data Analyst,SAIC,"Washington, D.C., US","Description SAIC is seeking a Data Analyst to join the Machine-assisted Analytic Rapid-repository System (MARS) Advanced Development Operations (DevOps) and Sustainment Support (ADOS) program and provide support to facilitate operations of critical MARS infrastructure and services. This effort focuses on providing a comprehensive set of System/ Software Engineering and IT Services to maintain, sustain, enhance, and improve/ modernize MARS. The ideal candidate will be located in the National Cap…",https://www.adzuna.com/land/ad/5431964735?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=34D2CFFE2B4D1E4288A44616F4943A49951534A1,,United States,,
Data Analyst,Robert Half,"Palo Alto, Santa Clara County","Description We are looking for a skilled Data Analyst to join our growing team in Palo Alto, California. This long-term contract position offers an exciting opportunity to contribute to high-tech engineering projects, leveraging your expertise in data analysis to drive impactful results. The role requires occasional onsite work on Wednesdays while primarily operating remotely. Responsibilities: - Perform detailed data analysis to identify trends, anomalies, and actionable insights. - Utilize ad…",https://www.adzuna.com/land/ad/5654276895?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=10BA2A58F6636B7096A475B424A20142A793605D,,United States,,
Data Analyst,Robert Half,"Flatbush, Brooklyn","Description We are looking for a skilled Data Analyst to join our team on a contract basis in Brooklyn, New York. In this role, you will leverage your expertise in data analysis to support decision-making processes and deliver actionable insights. The ideal candidate will bring a strong analytical skill set, familiarity with relevant tools, and the ability to work effectively in a dynamic environment. Responsibilities: - Analyze complex datasets to identify trends, patterns, and actionable insi…",https://www.adzuna.com/land/ad/5653120031?se=YL-ZAUca8RGcB9b2w1hBeQ&utm_medium=api&utm_source=44463cba&v=212A61C98CD97996AB192C20128A80BC52F318B1,,United States,,
